brand,kilometers,model,transmission,year
89,120.0,1106,3,2023.0
180,126300.0,843,3,2009.0
130,90884.0,548,3,2011.0
50,96200.0,609,1,2011.0
123,102741.0,463,1,2012.0
130,96200.0,704,3,2012.0
123,45300.0,472,1,2014.0
50,111000.0,609,1,2014.0
25,111000.0,1023,3,2017.0
3,39000.0,1135,1,2017.0
82,11500.0,591,1,2018.0
130,39681.0,1013,1,2018.0
43,100000.0,1684,3,1938.0
123,12200.0,464,1,2019.0
130,24000.0,972,1,2019.0
117,30000.0,394,3,2019.0
172,50000.0,662,3,1978.0
172,1200.0,662,3,1978.0
130,100.0,1105,3,1978.0
89,1100.0,1106,3,2022.0
157,91000.0,878,3,2011.0
130,226000.0,1042,1,2011.0
25,1.0,905,3,2011.0
43,86665.0,577,3,2012.0
50,70000.0,709,1,2014.0
89,98000.0,1380,1,2014.0
123,35900.0,464,1,2015.0
89,59300.0,1193,1,2017.0
117,28750.0,397,1,2019.0
50,47300.0,634,1,2019.0
172,50086.0,800,1,2018.0
74,55000.0,1434,3,2011.0
25,92444.0,250,3,2012.0
130,159745.0,548,3,2012.0
25,49285.0,1336,3,2018.0
145,44000.0,414,1,2018.0
117,69000.0,136,1,2016.0
72,43205.0,1112,1,2016.0
99,26200.0,1178,1,2019.0
43,93000.0,850,1,2012.0
50,96000.0,622,1,2012.0
180,69000.0,1459,1,2012.0
43,123000.0,577,3,2012.0
25,57417.0,1336,3,2015.0
130,61000.0,1103,1,2018.0
172,98200.0,1116,1,2018.0
25,111000.0,1336,3,2016.0
50,42000.0,678,3,2018.0
145,55000.0,1288,3,2016.0
74,76000.0,1434,3,2011.0
130,90800.0,1103,1,2014.0
172,131000.0,511,3,2012.0
172,82000.0,181,1,2018.0
99,26000.0,1175,1,2018.0
25,77855.0,1354,3,2018.0
117,79034.0,136,1,2016.0
117,50000.0,136,1,2018.0
145,52400.0,932,1,2018.0
104,74000.0,740,1,2012.0
125,34600.0,506,3,2012.0
117,44000.0,136,1,2018.0
130,45600.0,704,1,2018.0
