brand,kilometers,model,transmission,year
Kia,120.0,Picanto,Mecánica,2023.0
Volkswagen,126300.0,Jetta,Mecánica,2009.0
Nissan,90884.0,D22,Mecánica,2011.0
Ford,96200.0,Edge,Automática,2011.0
Mercedes-Benz,102741.0,Clase B 180,Automática,2012.0
Nissan,96200.0,Frontier,Mecánica,2012.0
Mercedes-Benz,45300.0,Clase E,Automática,2014.0
Ford,111000.0,Edge,Automática,2014.0
Chevrolet,111000.0,N300,Mecánica,2017.0
Audi,39000.0,Q3,Automática,2017.0
Jaguar,11500.0,E-Pace,Automática,2018.0
Nissan,39681.0,Murano,Automática,2018.0
Dodge,100000.0,dodge desoto D8,Mecánica,1938.0
Mercedes-Benz,12200.0,Clase C,Automática,2019.0
Nissan,24000.0,March,Automática,2019.0
Mazda,30000.0,CX-3,Mecánica,2019.0
Toyota,50000.0,FJ-40,Mecánica,1978.0
Toyota,1200.0,FJ-40,Mecánica,1978.0
Nissan,100.0,Patrol,Mecánica,1978.0
Kia,1100.0,Picanto,Mecánica,2022.0
Ssangyong,91000.0,Kyron,Mecánica,2011.0
Nissan,226000.0,Navara,Automática,2011.0
Chevrolet,1.0,LUV,Mecánica,2011.0
Dodge,86665.0,Durango,Mecánica,2012.0
Ford,70000.0,Fusion,Automática,2014.0
Kia,98000.0,Sportage,Automática,2014.0
Mercedes-Benz,35900.0,Clase C,Automática,2015.0
Kia,59300.0,Rio,Automática,2017.0
Mazda,28750.0,CX-5,Automática,2019.0
Ford,47300.0,Explorer,Automática,2019.0
Toyota,50086.0,Hilux,Automática,2018.0
Hyundai,55000.0,TUCSON IX-35,Mecánica,2011.0
Chevrolet,92444.0,AVEO EMOTION,Mecánica,2012.0
Nissan,159745.0,D22,Mecánica,2012.0
Chevrolet,49285.0,Sonic,Mecánica,2018.0
Renault,44000.0,Captur,Automática,2018.0
Mazda,69000.0,3,Automática,2016.0
Honda,43205.0,Pilot,Automática,2016.0
Land Rover,26200.0,Range Rover Velar,Automática,2019.0
Dodge,93000.0,Journey,Automática,2012.0
Ford,96000.0,Escape,Automática,2012.0
Volkswagen,69000.0,Tiguan,Automática,2012.0
Dodge,123000.0,Durango,Mecánica,2012.0
Chevrolet,57417.0,Sonic,Mecánica,2015.0
Nissan,61000.0,Pathfinder,Automática,2018.0
Toyota,98200.0,Prado,Automática,2018.0
Chevrolet,111000.0,Sonic,Mecánica,2016.0
Ford,42000.0,Fiesta,Mecánica,2018.0
Renault,55000.0,Sandero,Mecánica,2016.0
Hyundai,76000.0,TUCSON IX-35,Mecánica,2011.0
Nissan,90800.0,Pathfinder,Automática,2014.0
Toyota,131000.0,Corolla,Mecánica,2012.0
Toyota,82000.0,4Runner,Automática,2018.0
Land Rover,26000.0,Range Rover,Automática,2018.0
Chevrolet,77855.0,Spark,Mecánica,2018.0
Mazda,79034.0,3,Automática,2016.0
Mazda,50000.0,3,Automática,2018.0
Renault,52400.0,Logan,Automática,2018.0
Lexus,74000.0,GX,Automática,2012.0
Mini,34600.0,Cooper,Mecánica,2012.0
Mazda,44000.0,3,Automática,2018.0
Nissan,45600.0,Frontier,Automática,2018.0
Toyota,133000.0,Fortuner,Mecánica,2012.0
Ford,195000.0,Ranger,Mecánica,2012.0
Mazda,41000.0,3,Mecánica,2016.0
Renault,93300.0,Logan,Automática,2018.0
Chevrolet,45000.0,Tracker,Mecánica,2018.0
Nissan,118000.0,Frontier,Mecánica,2012.0
Chevrolet,122000.0,AVEO EMOTION,Mecánica,2012.0
BMW,19000.0,Serie 1,Automática,2012.0
Chevrolet,41000.0,Spark GT,Mecánica,2018.0
Mazda,99380.0,BT-50,Automática,2018.0
Volkswagen,45000.0,Gol,Mecánica,2018.0
Renault,119000.0,Logan,Mecánica,2012.0
Toyota,167220.0,Prado,Automática,2012.0
Ford,93000.0,Ecosport,Mecánica,2012.0
Mercedes-Benz,31144.0,Clase C,Automática,2018.0
Ford,84294.0,Ecosport,Mecánica,2012.0
Mercedes-Benz,99500.0,Clase GL,Automática,2012.0
Mazda,124000.0,3,Mecánica,2012.0
Mazda,100000.0,BT-50,Automática,2018.0
Nissan,114600.0,Sentra 2.0,Automática,2012.0
Volkswagen,78000.0,Jetta,Mecánica,2012.0
Chevrolet,92000.0,Aveo,Mecánica,2012.0
Dodge,75744.0,Journey,Automática,2018.0
Chevrolet,124579.0,Aveo,Mecánica,2012.0
Volvo,63660.0,S60,Automática,2012.0
Zotye,115000.0,Nomada,Mecánica,2012.0
Toyota,39000.0,Fortuner,Automática,2018.0
Nissan,81000.0,March,Mecánica,2018.0
Toyota,36297.0,Fortuner,Automática,2018.0
Chevrolet,66000.0,Aveo,Mecánica,2012.0
Mazda,96000.0,3,Mecánica,2012.0
Renault,38000.0,Logan,Mecánica,2018.0
Mazda,62000.0,CX-5,Automática,2018.0
Kia,35200.0,Picanto,Mecánica,2018.0
Hyundai,78623.0,TUCSON IX-35,Mecánica,2012.0
Hyundai,108000.0,i10,Mecánica,2012.0
Renault,89000.0,Logan,Mecánica,2012.0
Ford,35300.0,Escape,Automática,2018.0
Mazda,48800.0,2,Automática,2018.0
Mini,48000.0,Cooper,Automática,2012.0
Mercedes-Benz,33900.0,Clase C,Automática,2012.0
BMW,71000.0,Serie 3,Automática,2012.0
Ford,83200.0,Ranger,Automática,2018.0
Kia,73000.0,Rio,Mecánica,2012.0
Kia,82500.0,Rio,Mecánica,2012.0
Hyundai,110650.0,TUCSON IX-35,Mecánica,2012.0
Kia,56000.0,Rio,Automática,2018.0
Renault,85000.0,Sandero,Mecánica,2012.0
Nissan,78500.0,Qashqai,Automática,2018.0
SEAT,75350.0,Leon,Mecánica,2012.0
Renault,132000.0,Logan,Mecánica,2012.0
Volkswagen,50000.0,Saveiro,Mecánica,2018.0
Mercedes-Benz,49700.0,Clase A,Automática,2018.0
Ford,137000.0,Ecosport,Mecánica,2012.0
Toyota,166709.0,4Runner,Automática,2012.0
Toyota,230000.0,Land Cruiser,Mecánica,2012.0
Kia,60000.0,Rio,Mecánica,2018.0
Toyota,49000.0,2018,Automática,2018.0
Nissan,125000.0,Tiida,Mecánica,2012.0
Toyota,112000.0,Corolla,Mecánica,2012.0
Nissan,5000.0,Qashqai,Automática,2018.0
Chevrolet,31800.0,Tracker,Mecánica,2018.0
Mercedes-Benz,17500.0,Clase GLC,Automática,2018.0
Nissan,50000.0,March,Mecánica,2018.0
Mercedes-Benz,59000.0,Clase C,Automática,2012.0
Chevrolet,94200.0,SONIC LT,Mecánica,2018.0
Toyota,90000.0,Hilux,Automática,2018.0
Renault,32000.0,Stepway,Mecánica,2018.0
Chevrolet,90556.21355944383,Prado,Mecánica,2012.612294758021
Honda,120000.0,CR-V,Automática,2012.0
Chevrolet,4900.0,Camaro,Automática,2018.0
Toyota,60000.0,4Runner,Automática,2018.0
Mercedes-Benz,19500.0,Clase CLA,Automática,2018.0
Mazda,74000.0,BT-50,Automática,2018.0
Chevrolet,219000.0,N300,Mecánica,2012.0
Toyota,129000.0,4Runner,Automática,2012.0
Volkswagen,38000.0,Voyage,Mecánica,2018.0
Renault,154000.0,Logan,Mecánica,2012.0
Ford,251000.0,Ranger,Mecánica,2012.0
Honda,155000.0,CR-V,Automática,2012.0
Ford,251000.0,Ranger,Mecánica,2012.0
Honda,72000.0,Civic,Mecánica,2012.0
Volkswagen,126000.0,Jetta,Mecánica,2012.0
Chevrolet,27600.0,Sail,Mecánica,2018.0
Kia,82000.0,CERATO FORTE,Automática,2012.0
Kia,106000.0,Sportage,Mecánica,2012.0
Hyundai,108000.0,TUCSON IX-35,Mecánica,2012.0
Mazda,19500.0,3,Automática,2018.0
Mini,27500.0,Cooper,Automática,2018.0
Porsche,15000.0,Cayman,Automática,2018.0
Ford,104000.0,Explorer,Automática,2012.0
Kia,92000.0,Picanto,Mecánica,2012.0
Renault,22000.0,Koleos,Automática,2018.0
Renault,110000.0,Stepway,Mecánica,2012.0
Chery,87000.0,YOYA,Mecánica,2012.0
Nissan,87000.0,Tiida,Mecánica,2012.0
Ford,132000.0,Fiesta,Mecánica,2012.0
Chevrolet,47000.0,Onix,Automática,2018.0
Chevrolet,9000.0,Spark,Mecánica,2012.0
Chevrolet,90556.21355944383,Prado,Mecánica,2012.612294758021
